,group,layer,name,lat,lon,drive_time_s,walk_time_s
0,Education,Primary Schools,Acomb Primary,53.95331106892442,-1.115151646322886,241.38035985801005,1823.304345047953
1,Education,Primary Schools,Archbishop of York's CE Junior,53.92085534788157,-1.101684106964804,442.77588807706303,4349.260739751148
2,Education,Primary Schools,Badger Hill Primary,53.95043953729417,-1.041153713292126,376.89568460100793,3016.3607352747554
3,Education,Primary Schools,Bishopthorpe Infant,53.922362220018876,-1.099607840230649,426.6878816986332,4298.6833247745035
4,Education,Primary Schools,Burton Green Primary,53.979915702259625,-1.085713118194848,285.30840140229793,2080.4001706761396
5,Education,Primary Schools,Carr Infant,53.9636324155476,-1.130742553130539,358.7161448306515,2708.51385039854
6,Education,Primary Schools,Carr Junior,53.96318121274997,-1.126692742722208,330.5253654227347,2840.62832667747
7,Education,Primary Schools,Clifton With Rawcliffe Primary,53.983101476846095,-1.110052723953528,351.85356725296367,2552.7786229240123
8,Education,Primary Schools,Osbaldwick Primary,53.956860838709524,-1.042794040235348,314.11317485808274,2351.355263360404
9,Education,Primary Schools,Dringhouses Primary,53.94131927185007,-1.110488719927986,275.0697472436288,2581.682744591185
10,Education,Primary Schools,Dunnington CE Primary,53.96437195273396,-0.986199662111419,672.826508876852,5648.761228114404
11,Education,Primary Schools,Elvington CE Primary,53.9241418480328,-0.941142619439583,1077.1511158043825,8963.127881086524
12,Education,Primary Schools,Our Lady Queen of Martyrs RC Primary,53.952137573781556,-1.107539494100762,194.30207658396944,1484.0201570592503
13,Education,Primary Schools,Fishergate Primary,53.95207121701623,-1.075529680571848,117.5185302391389,842.079556907312
14,Education,Primary Schools,Haxby Road Primary,53.972236904902466,-1.076409987235964,210.88954254528272,1460.0293105536825
15,Education,Primary Schools,Headlands Primary,54.01002286069626,-1.077352592612671,618.0726829249912,5808.085673082762
16,Education,Primary Schools,Heworth CE Primary,53.96709349558106,-1.060508383794751,300.42494266875934,1674.6295024212866
17,Education,Primary Schools,Huntington Primary,53.995084389296174,-1.057236225546583,478.2262938413935,3572.22911188747
18,Education,Primary Schools,Clifton Green Primary,53.97113250607807,-1.092935644367307,194.61188179444952,1478.533828034701
19,Education,Primary Schools,Knavesmire Primary,53.944043578043626,-1.089295450641856,174.20156700776855,1483.4153096809594
20,Education,Primary Schools,Lakeside Primary,53.985446745614524,-1.103318545292085,451.9268358840501,2822.230102963915
21,Education,Primary Schools,Lord Deramore's Primary,53.94630279268888,-1.043000753703385,326.65123755192604,2737.646020601198
22,Education,Primary Schools,Naburn CE Primary,53.902388190516675,-1.090001424867827,667.2339831139154,7921.403091899035
23,Education,Primary Schools,New Earswick Primary,53.99234368306655,-1.073526705024113,402.2136000207764,3018.6120322689853
24,Education,Primary Schools,Osbaldwick Primary,53.95691361794278,-1.038788696309429,341.715952868051,2630.5298750416136
25,Education,Primary Schools,Park Grove Primary,53.96723850474168,-1.075470837506771,238.85596022193775,1223.3139867274895
26,Education,Primary Schools,Poppleton Road Primary,53.96254966670508,-1.115570306814464,240.3747395838781,1902.7313733592007
27,Education,Primary Schools,Ralph Butterfield Primary,54.01663395548249,-1.068988182208768,659.2434721941403,5564.4180058270385
28,Education,Primary Schools,Robert Wilkinson Primary,54.037463113390615,-1.042874878075291,952.301379653808,7499.697991681383
29,Education,Primary Schools,Rufforth Primary,53.95830918789157,-1.197887103357783,758.8792069360475,5962.321235831976
30,Education,Primary Schools,Scarcroft Primary,53.95271066218012,-1.09003597429106,127.86607792081683,804.1991640577539
31,Education,Primary Schools,Skelton Primary,54.00021986761181,-1.12854516387199,585.9464798072921,4487.2260769126915
32,Education,Primary Schools,St Aelred's Catholic Primary,53.962011361758755,-1.047433992409954,335.48357574280556,2397.243266717577
33,Education,Primary Schools,St Barnabas' CE Primary,53.964401693203676,-1.103104121205531,189.13447891176347,1333.3090308213052
34,Education,Primary Schools,St George's RC Primary,53.95066514825577,-1.075116701528474,133.67794758902448,972.5352050750733
35,Education,Primary Schools,St Lawrence's CE Primary,53.95230465943638,-1.064862703715975,165.22733491133658,1312.9262156946493
36,Education,Primary Schools,St Mary's CE Primary,53.92651917239444,-1.186812976838657,907.8754299892859,6629.930860007447
37,Education,Primary Schools,St Oswald's CE Primary,53.9374517498196,-1.070634725416145,277.3769817748191,3248.829104417473
38,Education,Primary Schools,St Paul's CE Primary,53.95502452134477,-1.099589366460775,149.70614345846985,1041.8162474435774
39,Education,Primary Schools,St Wilfrid's RC Primary,53.96412513855251,-1.078044434935226,142.70518336422072,848.6974785516456
40,Education,Primary Schools,Stockton on the Forest Primary,53.998160014788624,-1.00045798969824,735.625891340111,5544.936424260422
41,Education,Primary Schools,Tang Hall Primary,53.96316196256448,-1.062099686626916,277.8383421002522,1520.4895860447746
42,Education,Primary Schools,Westfield Primary,53.95044970123735,-1.138053979599612,397.9392635191508,3020.4653143998125
43,Education,Primary Schools,Wheldrake with Thorganby CE Primary,53.897597682777565,-0.965654471512522,1141.991393176832,9237.383458068913
44,Education,Primary Schools,Wigginton Primary,54.017590837533795,-1.087217061191068,703.0427847174701,6431.110337360008
45,Education,Primary Schools,Woodthorpe Primary,53.936645891677664,-1.128662726295508,433.26671139565946,3204.5043713564146
46,Education,Primary Schools,Yearsley Grove Primary,53.98005236607141,-1.063815034965441,381.7826435534279,2500.457975205444
47,Education,Primary Schools,Hempland Primary,53.96900355507216,-1.047636274949592,381.26184543582866,2380.350725368016
48,Education,Primary Schools,Copmanthorpe Primary,53.91629917399488,-1.137485166783179,589.0610026052483,6644.0573804369915
49,Education,Primary Schools,Poppleton Ousebank Primary,53.9840656251662,-1.154326907541755,569.4845835915739,5466.745349777715
50,Education,Primary Schools,Hob Moor Community Primary,53.948646591856075,-1.118591154141098,343.4687300849871,2324.5534761732424
51,Education,Primary Schools,St Paul's Nursery,53.955301500554484,-1.100148212786229,156.32268641496583,1278.6033588120583
52,Education,Secondary Schools,All Saints Roman Catholic School (Upper Site),53.95113752842876,-1.09397822769984,135.56355996522723,1039.459126015513
